1,1,1A
2,1,1B
3,1,1C
4,1,1D
5,1,1E
6,1,1F
7,1,2A
8,1,2B
9,1,2C
10,1,2D
11,1,2E
12,1,2F
13,1,3A
14,1,3B
15,1,3C
16,1,3D
17,1,3E
18,1,3F
19,1,4A
20,1,4B
21,1,4C
22,1,4D
23,1,4E
24,1,4F
25,1,5A
26,1,5B
27,1,5C
28,1,5D
29,1,5E
30,1,5F
31,1,6A
32,1,6B
33,1,6C
34,1,6D
35,1,6E
36,1,6F
37,1,7A
38,1,7B
39,1,7C
40,1,7D
41,1,7E
42,1,7F
43,1,8A
44,1,8B
45,1,8C
46,1,8D
47,1,8E
48,1,8F
49,1,9A
50,1,9B
51,1,9C
52,1,9D
53,1,9E
54,1,9F
55,1,10A
56,1,10B
57,1,10C
58,1,10D
59,1,10E
60,1,10F
61,1,11A
62,1,11B
63,1,11C
64,1,11D
65,1,11E
66,1,11F
67,1,12A
68,1,12B
69,1,12C
70,1,12D
71,1,12E
72,1,12F
73,1,13A
74,1,13B
75,1,13C
76,1,13D
77,1,13E
78,1,13F
79,1,14A
80,1,14B
81,1,14C
82,1,14D
83,1,14E
84,1,14F
85,1,15A
86,1,15B
87,1,15C
88,1,15D
89,1,15E
90,1,15F
91,1,16A
92,1,16B
93,1,16C
94,1,16D
95,1,16E
96,1,16F
97,1,17A
98,1,17B
99,1,17C
100,1,17D
101,1,17E
102,1,17F
103,1,18A
104,1,18B
105,1,18C
106,1,18D
107,1,18E
108,1,18F
109,1,19A
110,1,19B
111,1,19C
112,1,19D
113,1,19E
114,1,19F
115,1,20A
116,1,20B
117,1,20C
118,1,20D
119,1,20E
120,1,20F
121,1,21A
122,1,21B
123,1,21C
124,1,21D
125,1,21E
126,1,21F
127,1,22A
128,1,22B
129,1,22C
130,1,22D
131,1,22E
132,1,22F
133,1,23A
134,1,23B
135,1,23C
136,1,23D
137,1,23E
138,1,23F
139,1,24A
140,1,24B
141,1,24C
142,1,24D
143,1,24E
144,1,24F
145,1,25A
146,1,25B
147,1,25C
148,1,25D
149,1,25E
150,1,25F
151,1,26A
152,1,26B
153,1,26C
154,1,26D
155,1,26E
156,1,26F
157,1,27A
158,1,27B
159,1,27C
160,1,27D
161,1,27E
162,1,27F
163,1,28A
164,1,28B
165,1,28C
166,1,28D
167,1,28E
168,1,28F
169,1,29A
170,1,29B
171,1,29C
172,1,29D
173,1,29E
174,1,29F
175,1,30A
176,1,30B
177,1,30C
178,1,30D
179,1,30E
180,1,30F
181,2,1A
182,2,1B
183,2,1C
184,2,1D
185,2,1E
186,2,1F
187,2,2A
188,2,2B
189,2,2C
190,2,2D
191,2,2E
192,2,2F
193,2,3A
194,2,3B
195,2,3C
196,2,3D
197,2,3E
198,2,3F
199,2,4A
200,2,4B
201,2,4C
202,2,4D
